Prev Time,Curr Time,Frame Dur,FrameRate,
110.107211,110.123966,0.01676,59.683608,
110.123966,110.140820,0.01685,59.334907,
110.140820,110.157878,0.01706,58.620915,
110.157878,110.174157,0.01628,61.431088,
110.174157,110.190472,0.01632,61.291002,
110.190472,110.207520,0.01705,58.659517,
110.207520,110.223810,0.01629,61.387545,
110.223810,110.240803,0.01699,58.846627,
110.240803,110.257270,0.01647,60.729893,
110.257270,110.274275,0.01701,58.805560,
110.274275,110.290594,0.01632,61.276547,
110.290594,110.307550,0.01696,58.976866,
110.307550,110.323904,0.01635,61.147956,
110.323904,110.340856,0.01695,58.990256,
110.340856,110.357495,0.01664,60.098924,
110.357495,110.373798,0.01630,61.338029,
110.373798,110.390559,0.01676,59.664192,
110.390559,110.407513,0.01695,58.980213,
110.407513,110.423910,0.01640,60.988870,
110.423910,110.440505,0.01660,60.258055,
110.440505,110.457590,0.01708,58.531774,
110.457590,110.474453,0.01686,59.301050,
110.474453,110.490453,0.01600,62.501243,
110.490453,110.507531,0.01708,58.552659,
110.507531,110.523865,0.01633,61.221199,
110.523865,110.540533,0.01667,59.998307,
110.540533,110.557161,0.01663,60.139498,
110.557161,110.573765,0.01660,60.224300,
110.573765,110.590627,0.01686,59.304434,
110.590627,110.607215,0.01659,60.287184,
110.607215,110.623837,0.01662,60.160386,
110.623837,110.640525,0.01669,59.924504,
110.640525,110.657181,0.01666,60.037588,
110.657181,110.673940,0.01676,59.668759,
110.673940,110.690609,0.01667,59.990226,
110.690609,110.707378,0.01677,59.635661,
110.707378,110.724192,0.01681,59.475258,
110.724192,110.740589,0.01640,60.985291,
110.740589,110.757563,0.01697,58.914457,
110.757563,110.774088,0.01653,60.511839,
110.774088,110.791010,0.01692,59.095358,
110.791010,110.807102,0.01609,62.143709,
110.807102,110.824011,0.01691,59.141318,
110.824011,110.840488,0.01648,60.687338,
110.840488,110.857268,0.01678,59.595764,
110.857268,110.873838,0.01657,60.349031,
110.873838,110.891058,0.01722,58.073873,
110.891058,110.907298,0.01624,61.576679,
110.907298,110.923919,0.01662,60.163869,
110.923919,110.940494,0.01657,60.333849,
110.940494,110.957059,0.01657,60.366558,
110.957059,110.973903,0.01684,59.366541,
110.973903,110.990456,0.01655,60.413347,
110.990456,111.007107,0.01665,60.056092,
111.007107,111.023781,0.01667,59.974070,
111.023781,111.040349,0.01657,60.357209,
111.040349,111.057066,0.01672,59.819877,
111.057066,111.074422,0.01736,57.615626,
111.074422,111.091086,0.01666,60.009855,
111.091086,111.107782,0.01670,59.894573,
111.107782,111.123839,0.01606,62.280258,
111.123839,111.140452,0.01661,60.194069,
111.140452,111.157139,0.01669,59.925655,
111.157139,111.173758,0.01662,60.171997,
111.173758,111.190448,0.01669,59.915291,
111.190448,111.207126,0.01668,59.961382,
111.207126,111.224079,0.01695,58.985792,
111.224079,111.240428,0.01635,61.167151,
111.240428,111.257132,0.01670,59.864672,
111.257132,111.273824,0.01669,59.909535,
111.273824,111.290826,0.01700,58.816654,
111.290826,111.307406,0.01658,60.314008,
111.307406,111.324396,0.01699,58.856625,
111.324396,111.340485,0.01609,62.153619,
111.340485,111.357105,0.01662,60.170835,
111.357105,111.373771,0.01667,60.001771,
111.373771,111.390415,0.01664,60.080395,
111.390415,111.407087,0.01667,59.979839,
111.407087,111.423778,0.01669,59.912988,
111.423778,111.440451,0.01667,59.978685,
111.440451,111.457083,0.01663,60.125581,
111.457083,111.474031,0.01695,59.002536,
111.474031,111.490807,0.01678,59.610577,
111.490807,111.507105,0.01630,61.356135,
111.507105,111.523966,0.01686,59.307818,
111.523966,111.540498,0.01653,60.488359,
111.540498,111.557061,0.01656,60.374741,
111.557061,111.574070,0.01701,58.794471,
111.574070,111.590413,0.01634,61.188758,
111.590413,111.607120,0.01671,59.854329,
111.607120,111.623777,0.01666,60.036432,
111.623777,111.640453,0.01668,59.964842,
111.640453,111.657107,0.01665,60.045682,
111.657107,111.674268,0.01716,58.272503,
111.674268,111.690493,0.01623,61.632672,
111.690493,111.707709,0.01722,58.083610,
111.707709,111.724037,0.01633,61.247657,
111.724037,111.740538,0.01650,60.602406,
111.740538,111.757132,0.01659,60.260384,
111.757132,111.773798,0.01667,60.001771,
111.773798,111.790425,0.01663,60.145299,
111.790425,111.807123,0.01670,59.885370,
111.807123,111.823907,0.01678,59.580959,
111.823907,111.840480,0.01657,60.338520,
111.840480,111.857102,0.01662,60.161547,
111.857102,111.873791,0.01669,59.921049,
111.873791,111.890471,0.01668,59.951006,
111.890471,111.907214,0.01674,59.728199,
111.907214,111.923955,0.01674,59.731632,
111.923955,111.940502,0.01655,60.434425,
111.940502,111.957121,0.01662,60.171997,
111.957121,111.973870,0.01675,59.704180,
111.973870,111.990491,0.01662,60.165030,
111.990491,112.007149,0.01666,60.034120,
112.007149,112.023895,0.01675,59.713328,
112.023895,112.040465,0.01657,60.352536,
112.040465,112.057137,0.01667,59.980993,
112.057137,112.073798,0.01666,60.017941,
112.073798,112.090471,0.01667,59.978685,
112.090471,112.107196,0.01673,59.790051,
112.107196,112.124461,0.01726,57.920675,
112.124461,112.140508,0.01605,62.317603,
112.140508,112.157167,0.01666,60.028341,
112.157167,112.173820,0.01665,60.046839,
112.173820,112.190488,0.01667,59.995997,
112.190488,112.207182,0.01669,59.902628,
112.207182,112.223864,0.01668,59.942937,
112.223864,112.240441,0.01658,60.325678,
112.240441,112.257171,0.01673,59.772857,
